,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1996-97,1997-98,1998-99,1999-00,2000-01,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
0,Karl Malone,Karl Malone,Karl Malone,Charles Barkley,Scottie Pippen,Karl Malone,Karl Malone,Karl Malone,Karl Malone,Tim Duncan,Tim Duncan,Tim Duncan,Kevin Garnett,Tim Duncan,LeBron James,Dirk Nowitzki,Kevin Garnett,Dirk Nowitzki,Kevin Durant,Kevin Durant,LeBron James,LeBron James,Kevin Durant,LeBron James,Kawhi Leonard,Kawhi Leonard,Kevin Durant,Giannis Antetokounmpo,LeBron James,Giannis Antetokounmpo,Giannis Antetokounmpo,Giannis Antetokounmpo,Shai Gilgeous-Alexander
1,Charles Barkley,Charles Barkley,Chris Mullin,Karl Malone,Karl Malone,Scottie Pippen,Grant Hill,Tim Duncan,Tim Duncan,Kevin Garnett,Chris Webber,Kevin Garnett,Tim Duncan,Dirk Nowitzki,Dirk Nowitzki,Tim Duncan,LeBron James,LeBron James,LeBron James,LeBron James,Kevin Durant,Kevin Durant,LeBron James,Anthony Davis,LeBron James,LeBron James,LeBron James,Paul George,Giannis Antetokounmpo,Kawhi Leonard,Jayson Tatum,Jayson Tatum,Nikola Jokic
2,Patrick Ewing,David Robinson,David Robinson,Hakeem Olajuwon,Hakeem Olajuwon,David Robinson,Hakeem Olajuwon,Shaquille O'Neal,Alonzo Mourning,Shaquille O'Neal,Shaquille O'Neal,Shaquille O'Neal,Shaquille O'Neal,Shaquille O'Neal,Shaquille O'Neal,Amar'e Stoudemire,Dwight Howard,Dwight Howard,Dwight Howard,Dwight Howard,Dwight Howard,Tim Duncan,Joakim Noah,Marc Gasol,DeAndre Jordan,Anthony Davis,Anthony Davis,Nikola Jokic,Anthony Davis,Nikola Jokic,Nikola Jokic,Joel Embiid,Luka Doncic
3,Magic Johnson,Michael Jordan,Michael Jordan,Michael Jordan,John Stockton,John Stockton,Michael Jordan,Michael Jordan,Allen Iverson,Jason Kidd,Allen Iverson,Kobe Bryant,Kobe Bryant,Allen Iverson,Kobe Bryant,Steve Nash,Kobe Bryant,Kobe Bryant,Kobe Bryant,Kobe Bryant,Kobe Bryant,Kobe Bryant,James Harden,James Harden,Stephen Curry,James Harden,James Harden,James Harden,James Harden,Stephen Curry,Devin Booker,Luka Doncic,Giannis Antetokounmpo
4,Michael Jordan,Magic Johnson,Clyde Drexler,Mark Price,Latrell Sprewell,Anfernee Hardaway,Tim Hardaway,Gary Payton,Jason Kidd,Gary Payton,Jason Kidd,Tracy McGrady,Jason Kidd,Steve Nash,Steve Nash,Kobe Bryant,Chris Paul,Dwyane Wade,Dwyane Wade,Derrick Rose,Chris Paul,Chris Paul,Chris Paul,Stephen Curry,Russell Westbrook,Russell Westbrook,Damian Lillard,Stephen Curry,Luka Doncic,Luka Doncic,Luka Doncic,Shai Gilgeous-Alexander,Jayson Tatum
5,Larry Bird,Dominique Wilkins,Scottie Pippen,Dominique Wilkins,Shawn Kemp,Charles Barkley,Scottie Pippen,Grant Hill,Chris Webber,Karl Malone,Kevin Garnett,Dirk Nowitzki,Jermaine O'Neal,LeBron James,Elton Brand,LeBron James,Dirk Nowitzki,Paul Pierce,Carmelo Anthony,Pau Gasol,Kevin Love,Carmelo Anthony,Blake Griffin,LaMarcus Aldridge,Kevin Durant,Kevin Durant,LaMarcus Aldridge,Kevin Durant,Kawhi Leonard,LeBron James,DeMar DeRozan,Jimmy Butler,Jalen Brunson
6,Tom Chambers,Chris Mullin,Charles Barkley,Larry Johnson,Charles Barkley,Shawn Kemp,Glen Rice,Vin Baker,Grant Hill,Grant Hill,Vince Carter,Chris Webber,Peja Stojakovic,Kevin Garnett,Tim Duncan,Chris Bosh,Tim Duncan,Tim Duncan,Dirk Nowitzki,Dirk Nowitzki,Blake Griffin,Blake Griffin,Kevin Love,Pau Gasol,Draymond Green,Giannis Antetokounmpo,Giannis Antetokounmpo,Kawhi Leonard,Pascal Siakam,Julius Randle,Kevin Durant,Jaylen Brown,Anthony Edwards
7,Hakeem Olajuwon,Patrick Ewing,Patrick Ewing,Patrick Ewing,David Robinson,Shaquille O'Neal,Patrick Ewing,David Robinson,Shaquille O'Neal,Alonzo Mourning,Dikembe Mutombo,Ben Wallace,Ben Wallace,Amar'e Stoudemire,Ben Wallace,Yao Ming,Amar'e Stoudemire,Yao Ming,Amar'e Stoudemire,Amar'e Stoudemire,Andrew Bynum,Marc Gasol,Dwight Howard,DeMarcus Cousins,DeMarcus Cousins,Rudy Gobert,Joel Embiid,Joel Embiid,Nikola Jokic,Joel Embiid,Joel Embiid,Nikola Jokic,Kevin Durant
8,John Stockton,Kevin Johnson,Tim Hardaway,John Stockton,Mitch Richmond,Gary Payton,Gary Payton,Tim Hardaway,Gary Payton,Allen Iverson,Kobe Bryant,Jason Kidd,Sam Cassell,Dwyane Wade,Chauncey Billups,Gilbert Arenas,Steve Nash,Brandon Roy,Deron Williams,Dwyane Wade,Tony Parker,Tony Parker,Stephen Curry,Russell Westbrook,Damian Lillard,Stephen Curry,DeMar DeRozan,Damian Lillard,Damian Lillard,Damian Lillard,Stephen Curry,Stephen Curry,Kawhi Leonard
9,Kevin Johnson,Clyde Drexler,John Stockton,Joe Dumars,Kevin Johnson,Mitch Richmond,Mitch Richmond,Rod Strickland,Tim Hardaway,Kobe Bryant,Tracy McGrady,Allen Iverson,Tracy McGrady,Ray Allen,Dwyane Wade,Tracy McGrady,Deron Williams,Chris Paul,Steve Nash,Russell Westbrook,Russell Westbrook,Russell Westbrook,Tony Parker,Chris Paul,Chris Paul,Isaiah Thomas,Russell Westbrook,Kyrie Irving,Chris Paul,Chris Paul,Ja Morant,Donovan Mitchell,Anthony Davis
